starttime	seconds	ctime	dtime	ttime	wait
Mon Jan 30 17:51:33 2023	1675080393	0	1160	1161	1160
Mon Jan 30 17:51:15 2023	1675080375	0	1161	1161	1161
Mon Jan 30 17:51:29 2023	1675080389	0	1162	1162	1161
Mon Jan 30 17:51:34 2023	1675080394	0	1162	1162	1161
Mon Jan 30 17:51:31 2023	1675080391	1	1162	1162	1161
Mon Jan 30 17:51:30 2023	1675080390	0	1162	1162	1162
Mon Jan 30 17:51:31 2023	1675080391	0	1162	1162	1162
Mon Jan 30 17:51:27 2023	1675080387	0	1163	1163	1162
Mon Jan 30 17:51:29 2023	1675080389	0	1163	1164	1163
Mon Jan 30 17:51:39 2023	1675080399	0	1164	1164	1163
Mon Jan 30 17:51:33 2023	1675080393	0	1164	1164	1163
Mon Jan 30 17:51:31 2023	1675080391	0	1164	1164	1164
Mon Jan 30 17:51:34 2023	1675080394	0	1164	1165	1164
Mon Jan 30 17:51:27 2023	1675080387	0	1165	1165	1164
Mon Jan 30 17:51:15 2023	1675080375	0	1165	1165	1164
Mon Jan 30 17:51:32 2023	1675080392	0	1165	1165	1165
Mon Jan 30 17:51:16 2023	1675080376	0	1166	1166	1165
Mon Jan 30 17:51:24 2023	1675080384	0	1166	1166	1166
Mon Jan 30 17:51:36 2023	1675080396	0	1166	1167	1166
Mon Jan 30 17:51:30 2023	1675080390	0	1168	1168	1167
Mon Jan 30 17:51:37 2023	1675080397	0	1168	1168	1167
Mon Jan 30 17:51:30 2023	1675080390	0	1169	1169	1168
Mon Jan 30 17:51:30 2023	1675080390	0	1169	1169	1169
Mon Jan 30 17:51:22 2023	1675080382	0	1169	1169	1168
Mon Jan 30 17:51:30 2023	1675080390	0	1170	1170	1169
Mon Jan 30 17:51:27 2023	1675080387	0	1170	1170	1169
Mon Jan 30 17:51:26 2023	1675080386	0	1170	1170	1170
Mon Jan 30 17:51:30 2023	1675080390	0	1170	1171	1169
Mon Jan 30 17:51:33 2023	1675080393	0	1171	1171	1170
Mon Jan 30 17:51:31 2023	1675080391	0	1171	1171	1170
Mon Jan 30 17:51:33 2023	1675080393	0	1172	1172	1171
Mon Jan 30 17:51:15 2023	1675080375	0	1172	1172	1172
Mon Jan 30 17:51:26 2023	1675080386	0	1172	1172	1171
Mon Jan 30 17:51:27 2023	1675080387	0	1172	1173	1172
Mon Jan 30 17:51:28 2023	1675080388	0	1172	1173	1172
Mon Jan 30 17:51:28 2023	1675080388	0	1173	1173	1172
Mon Jan 30 17:51:22 2023	1675080382	0	1173	1173	1172
Mon Jan 30 17:51:28 2023	1675080388	0	1173	1173	1173
Mon Jan 30 17:51:30 2023	1675080390	0	1173	1173	1173
Mon Jan 30 17:51:33 2023	1675080393	0	1173	1174	1173
Mon Jan 30 17:51:29 2023	1675080389	0	1174	1174	1173
Mon Jan 30 17:51:34 2023	1675080394	0	1174	1174	1173
Mon Jan 30 17:51:29 2023	1675080389	0	1174	1174	1173
Mon Jan 30 17:51:36 2023	1675080396	0	1174	1174	1174
Mon Jan 30 17:51:39 2023	1675080399	0	1174	1175	1174
Mon Jan 30 17:51:36 2023	1675080396	0	1175	1175	1174
Mon Jan 30 17:51:34 2023	1675080394	0	1175	1175	1174
Mon Jan 30 17:51:38 2023	1675080398	0	1175	1176	1175
Mon Jan 30 17:51:36 2023	1675080396	0	1176	1176	1175
Mon Jan 30 17:51:30 2023	1675080390	0	1176	1176	1175
Mon Jan 30 17:51:29 2023	1675080389	0	1176	1176	1175
Mon Jan 30 17:51:22 2023	1675080382	0	1176	1176	1175
Mon Jan 30 17:51:34 2023	1675080394	0	1176	1176	1176
Mon Jan 30 17:51:34 2023	1675080394	0	1177	1177	1176
Mon Jan 30 17:51:26 2023	1675080386	0	1177	1177	1176
Mon Jan 30 17:51:37 2023	1675080397	0	1178	1178	1177
Mon Jan 30 17:51:33 2023	1675080393	0	1178	1178	1177
Mon Jan 30 17:51:30 2023	1675080390	0	1178	1178	1178
Mon Jan 30 17:51:36 2023	1675080396	1	1178	1178	1177
Mon Jan 30 17:51:33 2023	1675080393	0	1178	1179	1178
Mon Jan 30 17:51:36 2023	1675080396	0	1179	1179	1178
Mon Jan 30 17:51:36 2023	1675080396	0	1179	1179	1178
Mon Jan 30 17:51:30 2023	1675080390	0	1179	1179	1179
Mon Jan 30 17:51:24 2023	1675080384	0	1180	1180	1179
Mon Jan 30 17:51:29 2023	1675080389	0	1181	1181	1180
Mon Jan 30 17:51:37 2023	1675080397	0	1181	1181	1180
Mon Jan 30 17:51:39 2023	1675080399	0	1181	1181	1181
Mon Jan 30 17:51:26 2023	1675080386	0	1182	1182	1181
Mon Jan 30 17:51:39 2023	1675080399	1	1182	1182	1181
Mon Jan 30 17:51:25 2023	1675080385	0	1183	1183	1182
Mon Jan 30 17:51:32 2023	1675080392	0	1183	1183	1182
Mon Jan 30 17:51:28 2023	1675080388	1	1183	1183	1182
Mon Jan 30 17:51:24 2023	1675080384	0	1183	1183	1182
Mon Jan 30 17:51:30 2023	1675080390	0	1183	1183	1183
Mon Jan 30 17:51:26 2023	1675080386	0	1183	1184	1183
Mon Jan 30 17:51:33 2023	1675080393	0	1184	1184	1184
Mon Jan 30 17:51:28 2023	1675080388	0	1184	1184	1184
Mon Jan 30 17:51:33 2023	1675080393	0	1185	1185	1184
Mon Jan 30 17:51:16 2023	1675080376	0	1185	1186	1185
Mon Jan 30 17:51:15 2023	1675080375	0	1186	1186	1184
Mon Jan 30 17:51:28 2023	1675080388	0	1186	1186	1185
Mon Jan 30 17:51:36 2023	1675080396	0	1186	1186	1185
Mon Jan 30 17:51:30 2023	1675080390	0	1186	1186	1186
Mon Jan 30 17:51:33 2023	1675080393	0	1186	1187	1186
Mon Jan 30 17:51:36 2023	1675080396	0	1186	1187	1186
Mon Jan 30 17:51:22 2023	1675080382	0	1187	1187	1186
Mon Jan 30 17:51:33 2023	1675080393	0	1187	1187	1186
Mon Jan 30 17:51:29 2023	1675080389	0	1187	1187	1187
Mon Jan 30 17:51:33 2023	1675080393	0	1188	1188	1187
Mon Jan 30 17:51:37 2023	1675080397	0	1188	1188	1187
Mon Jan 30 17:51:36 2023	1675080396	0	1188	1188	1187
Mon Jan 30 17:51:31 2023	1675080391	0	1188	1188	1187
Mon Jan 30 17:51:37 2023	1675080397	0	1188	1188	1187
Mon Jan 30 17:51:31 2023	1675080391	0	1188	1188	1187
Mon Jan 30 17:51:29 2023	1675080389	0	1188	1188	1187
Mon Jan 30 17:51:33 2023	1675080393	0	1188	1188	1188
Mon Jan 30 17:51:36 2023	1675080396	0	1188	1188	1188
Mon Jan 30 17:51:16 2023	1675080376	0	1188	1189	1188
Mon Jan 30 17:51:28 2023	1675080388	0	1188	1189	1188
Mon Jan 30 17:51:28 2023	1675080388	0	1189	1189	1188
Mon Jan 30 17:51:34 2023	1675080394	0	1189	1189	1189
Mon Jan 30 17:51:27 2023	1675080387	0	1189	1190	1189
Mon Jan 30 17:51:34 2023	1675080394	0	1190	1190	1189
Mon Jan 30 17:51:29 2023	1675080389	0	1190	1190	1189
Mon Jan 30 17:51:37 2023	1675080397	0	1190	1191	1190
Mon Jan 30 17:51:32 2023	1675080392	0	1190	1191	1190
Mon Jan 30 17:51:29 2023	1675080389	0	1191	1191	1190
Mon Jan 30 17:51:28 2023	1675080388	0	1191	1191	1190
Mon Jan 30 17:51:24 2023	1675080384	0	1191	1191	1190
Mon Jan 30 17:51:21 2023	1675080381	0	1191	1191	1191
Mon Jan 30 17:51:31 2023	1675080391	0	1191	1191	1191
Mon Jan 30 17:51:26 2023	1675080386	0	1191	1191	1191
Mon Jan 30 17:51:37 2023	1675080397	0	1192	1192	1192
Mon Jan 30 17:51:30 2023	1675080390	0	1192	1192	1192
Mon Jan 30 17:51:34 2023	1675080394	0	1192	1192	1192
Mon Jan 30 17:51:16 2023	1675080376	0	1193	1193	1192
Mon Jan 30 17:51:31 2023	1675080391	0	1193	1193	1192
Mon Jan 30 17:51:16 2023	1675080376	0	1194	1194	1193
Mon Jan 30 17:51:31 2023	1675080391	0	1194	1194	1193
Mon Jan 30 17:51:37 2023	1675080397	0	1194	1194	1193
Mon Jan 30 17:51:31 2023	1675080391	0	1194	1194	1194
Mon Jan 30 17:51:36 2023	1675080396	0	1195	1195	1194
Mon Jan 30 17:51:32 2023	1675080392	0	1195	1195	1195
Mon Jan 30 17:51:32 2023	1675080392	0	1195	1195	1194
Mon Jan 30 17:51:28 2023	1675080388	0	1195	1196	1195
Mon Jan 30 17:51:30 2023	1675080390	0	1195	1196	1195
Mon Jan 30 17:51:16 2023	1675080376	0	1196	1196	1195
Mon Jan 30 17:51:36 2023	1675080396	0	1196	1196	1195
Mon Jan 30 17:51:26 2023	1675080386	0	1196	1196	1195
Mon Jan 30 17:51:15 2023	1675080375	0	1196	1196	1195
Mon Jan 30 17:51:39 2023	1675080399	0	1196	1196	1195
Mon Jan 30 17:51:21 2023	1675080381	0	1196	1196	1196
